,TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
602,180.48164369999998,8.876953125,8.841796875,9.026367188,57.18530273,0.14440918,50.64697266,27.64282227,7412.0,16.34813499,8.01224041
603,180.4207001,8.857421875,8.826171875,9.041015625,57.10344315,0.14379882800000002,50.64086914,27.56347656,7424.75293,15.91929054,8.036616325
604,180.4511719,8.865234375,8.833984375,9.049804688,57.22038651,0.144348145,50.5859375,27.56347656,7112.808105,16.00823975,7.975038528
605,180.4511719,8.88671875,8.850585938,9.057617188,57.24377441,0.146362305,50.74462891,27.70996094,7073.225586,15.88382912,8.035354614
606,180.5882874,8.854492188,8.828125,9.041015625,57.08005524,0.144775391,50.80566406,27.64892578,7336.682129000001,15.83947563,8.015590668
607,180.5273438,8.884765625,8.8515625,9.055664063,57.06835938,0.146728516,50.89111328,27.8137207,7030.815918000001,16.54574966,7.996248245
608,180.4359436,8.911132813,8.875976563,9.08984375,57.16191483,0.149230957,51.41601563,28.30810547,7356.621094,17.49705505,8.044610022999999
609,180.4207001,8.943359375,8.904296875,9.084960938,57.1969986,0.15057373,51.73950195,28.45458984,6882.541992,17.75949478,8.032046317999999
610,180.4968719,8.907226563,8.874023438,9.067382813,56.98649979,0.152038574,51.86157227,28.53393555,7387.254883,17.93504715,7.9886341089999995
611,180.34452819999998,8.975585938,8.935546875,9.13671875,57.26716614,0.15447998,51.98364258,28.64379883,7243.32959,18.57963562,7.999022007000001
612,180.3140564,8.967773438,8.926757813,9.118164063,57.15022278,0.155090332,52.30102539,28.88793945,6952.686035,18.21860123,7.990590572
613,180.2835999,8.978515625,8.938476563,9.129882813,57.24377441,0.154296875,52.24609375,28.76586914,7185.80127,18.28748512,8.013987541
614,180.34452819999998,8.954101563,8.918945313,9.111328125,57.15022278,0.15368652300000002,52.09960938,28.64990234,6911.303223000001,17.91601753,8.007329941
615,180.2835999,9.02734375,8.984375,9.171875,57.384109499999994,0.158752441,52.74047852,29.26635742,7143.206055,18.58158875,8.002447128
616,180.40547180000002,8.920898438,8.889648438,9.092773438,57.10344315,0.149597168,51.55029297,28.2409668,7082.710937999999,17.6051712,7.967341900000001
617,180.34452819999998,8.956054688,8.916992188,9.111328125,57.20869446,0.153991699,51.96533203,28.69262695,7071.931151999999,17.68972969,8.006040573
618,180.3140564,8.975585938,8.934570313,9.12890625,57.33732986,0.154968262,52.20947266,28.85742188,7268.564453,18.1254158,8.003705025
619,180.3140564,8.958984375,8.921875,9.114257813,57.15022278,0.154052734,52.01416016,28.75976563,7242.486816,17.73484039,7.986989498
621,180.3140564,8.982421875,8.94140625,9.153320313,57.06835938,0.15838623,52.618408200000005,28.86962891,6906.88623,17.55323982,7.980522156
622,180.4664001,8.981445313,8.938476563,9.125976563,57.37241364,0.154541016,52.15454102,28.43017578,7266.464844,17.51114464,7.973109245
623,180.4968719,8.940429688,8.90625,9.092773438,57.13852692,0.15319824199999998,51.93481445,28.36303711,6952.24707,17.136108399999998,7.958605288999999
624,180.4664001,8.942382813,8.904296875,9.112304688,57.06835938,0.153747559,51.953125,28.28369141,6903.79248,17.5141716,7.965598106
625,180.34452819999998,8.9296875,8.893554688,9.08984375,57.08005524,0.152282715,51.73339844,28.28979492,6922.774414,16.72789955,8.007930756
627,180.375,8.903320313,8.869140625,9.045898438,57.0917511,0.150634766,51.46484375,27.99682617,7215.46875,16.59169388,7.972113609
